.threshold	specificity	sensitivity	model
-Inf	0	1	PCA + SVM
0.004064012733385414	0	1	PCA + SVM
0.004351414627604355	0.008928571428571397	1	PCA + SVM
0.005985545397856673	0.017857142857142905	1	PCA + SVM
0.006422916724851846	0.0267857142857143	1	PCA + SVM
0.007331335437826381	0.0357142857142857	1	PCA + SVM
0.007456076304206416	0.044642857142857095	1	PCA + SVM
0.01001790709474426	0.0535714285714286	1	PCA + SVM
0.011854951762080512	0.0625	1	PCA + SVM
0.012833199053955191	0.0714285714285714	1	PCA + SVM
0.013564877121273189	0.0803571428571429	1	PCA + SVM
0.01916507748317353	0.0892857142857143	1	PCA + SVM
0.02300776451450548	0.0982142857142857	1	PCA + SVM
0.023959063585315077	0.1071428571428571	1	PCA + SVM
0.028134796632135917	0.1160714285714286	1	PCA + SVM
0.028163852424472835	0.125	1	PCA + SVM
0.03322241464472253	0.125	0.9864864864864865	PCA + SVM
0.033425230886584556	0.1339285714285714	0.9864864864864865	PCA + SVM
0.03379014803028013	0.1428571428571429	0.9864864864864865	PCA + SVM
0.033883495933233254	0.1517857142857143	0.9864864864864865	PCA + SVM
0.03623346733322241	0.1607142857142857	0.9864864864864865	PCA + SVM
0.03815550467820705	0.1696428571428571	0.9864864864864865	PCA + SVM
0.040175073920400206	0.1785714285714286	0.9864864864864865	PCA + SVM
0.040452483091584	0.1875	0.9864864864864865	PCA + SVM
0.042097831286393994	0.1964285714285714	0.9864864864864865	PCA + SVM
0.04889156563783614	0.2053571428571429	0.9864864864864865	PCA + SVM
0.050502987305400815	0.2142857142857143	0.9864864864864865	PCA + SVM
0.05352515185742357	0.2232142857142857	0.9864864864864865	PCA + SVM
0.054220838111650904	0.2321428571428571	0.9864864864864865	PCA + SVM
0.0706709277616624	0.2410714285714286	0.9864864864864865	PCA + SVM
0.07238405393180458	0.25	0.9864864864864865	PCA + SVM
0.0728202322326903	0.2589285714285714	0.9864864864864865	PCA + SVM
0.07657508807948954	0.2589285714285714	0.972972972972973	PCA + SVM
0.07747874639062513	0.2589285714285714	0.9594594594594594	PCA + SVM
0.07829462942966592	0.2678571428571429	0.9594594594594594	PCA + SVM
0.08242033273612026	0.2767857142857143	0.9594594594594594	PCA + SVM
0.08510436865062465	0.2857142857142857	0.9594594594594594	PCA + SVM
0.08671009341892455	0.2946428571428571	0.9594594594594594	PCA + SVM
0.09249480083277362	0.3035714285714286	0.9594594594594594	PCA + SVM
0.09477527644964379	0.3125	0.9594594594594594	PCA + SVM
0.09785379387451243	0.3214285714285714	0.9594594594594594	PCA + SVM
0.098109399000188	0.3303571428571429	0.9594594594594594	PCA + SVM
0.09825392747309236	0.3392857142857143	0.9594594594594594	PCA + SVM
0.09932170735449752	0.3482142857142857	0.9594594594594594	PCA + SVM
0.10066475412069875	0.3571428571428571	0.9594594594594594	PCA + SVM
0.10518948387786953	0.3660714285714286	0.9594594594594594	PCA + SVM
0.10552205472301734	0.375	0.9594594594594594	PCA + SVM
0.11322492500781955	0.3839285714285714	0.9594594594594594	PCA + SVM
0.11349462993047588	0.3928571428571429	0.9594594594594594	PCA + SVM
0.11430093526091234	0.4017857142857143	0.9594594594594594	PCA + SVM
0.11573953103196943	0.4107142857142857	0.9594594594594594	PCA + SVM
0.12885808274566013	0.4107142857142857	0.9459459459459459	PCA + SVM
0.13340854785949918	0.4196428571428571	0.9459459459459459	PCA + SVM
0.13362159153853626	0.4285714285714286	0.9459459459459459	PCA + SVM
0.13446702854334425	0.4375	0.9459459459459459	PCA + SVM
0.13739478469887834	0.4464285714285714	0.9459459459459459	PCA + SVM
0.14149721199169485	0.4553571428571429	0.9459459459459459	PCA + SVM
0.14491791570535484	0.4642857142857143	0.9459459459459459	PCA + SVM
0.1473879985444032	0.4732142857142857	0.9459459459459459	PCA + SVM
0.14751300809596501	0.4821428571428571	0.9459459459459459	PCA + SVM
0.15088296064217444	0.4910714285714286	0.9459459459459459	PCA + SVM
0.16030892071463354	0.5	0.9459459459459459	PCA + SVM
0.1619880415414101	0.5	0.9324324324324325	PCA + SVM
0.16812846248735125	0.5089285714285714	0.9324324324324325	PCA + SVM
0.16823439115626682	0.5178571428571428	0.9324324324324325	PCA + SVM
0.1698308159921148	0.5267857142857143	0.9324324324324325	PCA + SVM
0.17095083668799682	0.5267857142857143	0.918918918918919	PCA + SVM
0.1713459630904256	0.5357142857142857	0.918918918918919	PCA + SVM
0.17196019395305895	0.5446428571428572	0.918918918918919	PCA + SVM
0.17381935775989343	0.5535714285714286	0.918918918918919	PCA + SVM
0.17385874222277187	0.5625	0.918918918918919	PCA + SVM
0.17578226871098612	0.5714285714285714	0.918918918918919	PCA + SVM
0.17942496408756026	0.5803571428571428	0.918918918918919	PCA + SVM
0.18511082237909948	0.5892857142857143	0.918918918918919	PCA + SVM
0.1867739040573303	0.5982142857142857	0.918918918918919	PCA + SVM
0.1902274208367294	0.6071428571428572	0.918918918918919	PCA + SVM
0.1939391350712556	0.6160714285714286	0.918918918918919	PCA + SVM
0.2017420994141469	0.625	0.918918918918919	PCA + SVM
0.20661771451725364	0.6339285714285714	0.918918918918919	PCA + SVM
0.21089920099915382	0.6428571428571428	0.918918918918919	PCA + SVM
0.21177484136861235	0.6517857142857143	0.918918918918919	PCA + SVM
0.21864267467985765	0.6607142857142857	0.918918918918919	PCA + SVM
0.22572789718028885	0.6696428571428572	0.918918918918919	PCA + SVM
0.23246520150861105	0.6696428571428572	0.9054054054054054	PCA + SVM
0.23773376855114536	0.6696428571428572	0.8918918918918919	PCA + SVM
