.threshold	specificity	sensitivity	model
0.64725	0.963855421686747	0.6615384615384615	Information Gain + Random Forest
0.65445	0.963855421686747	0.6461538461538462	Information Gain + Random Forest
0.66515	0.963855421686747	0.6307692307692307	Information Gain + Random Forest
0.66945	0.963855421686747	0.6153846153846154	Information Gain + Random Forest
0.67095	0.963855421686747	0.6	Information Gain + Random Forest
0.6715	0.963855421686747	0.5846153846153846	Information Gain + Random Forest
0.6721	0.9759036144578314	0.5846153846153846	Information Gain + Random Forest
0.693	0.9759036144578314	0.5692307692307692	Information Gain + Random Forest
0.70445	0.9759036144578314	0.5538461538461539	Information Gain + Random Forest
0.7112	0.9759036144578314	0.5384615384615384	Information Gain + Random Forest
0.7301	0.9759036144578314	0.5230769230769231	Information Gain + Random Forest
0.73175	0.9759036144578314	0.5076923076923077	Information Gain + Random Forest
0.73825	0.9759036144578314	0.49230769230769234	Information Gain + Random Forest
0.7393	0.9759036144578314	0.47692307692307695	Information Gain + Random Forest
0.7427	0.9759036144578314	0.46153846153846156	Information Gain + Random Forest
0.7466	0.9759036144578314	0.4461538461538462	Information Gain + Random Forest
0.75295	0.9759036144578314	0.4307692307692308	Information Gain + Random Forest
0.7707	0.9759036144578314	0.4153846153846154	Information Gain + Random Forest
0.7839	0.9759036144578314	0.4	Information Gain + Random Forest
0.7951	0.9759036144578314	0.38461538461538464	Information Gain + Random Forest
0.7973	0.9759036144578314	0.36923076923076925	Information Gain + Random Forest
0.8027	0.9759036144578314	0.35384615384615387	Information Gain + Random Forest
0.8117	0.9759036144578314	0.3384615384615385	Information Gain + Random Forest
0.8245	0.9759036144578314	0.3230769230769231	Information Gain + Random Forest
0.82465	0.9879518072289156	0.3230769230769231	Information Gain + Random Forest
0.8309	1	0.3230769230769231	Information Gain + Random Forest
0.83285	1	0.3076923076923077	Information Gain + Random Forest
0.841	1	0.2923076923076923	Information Gain + Random Forest
0.84785	1	0.27692307692307694	Information Gain + Random Forest
0.84975	1	0.26153846153846155	Information Gain + Random Forest
0.8694	1	0.24615384615384617	Information Gain + Random Forest
0.87535	1	0.23076923076923078	Information Gain + Random Forest
0.8773	1	0.2153846153846154	Information Gain + Random Forest
0.8878	1	0.2	Information Gain + Random Forest
0.91005	1	0.18461538461538463	Information Gain + Random Forest
0.9244	1	0.16923076923076924	Information Gain + Random Forest
0.94415	1	0.15384615384615385	Information Gain + Random Forest
0.9515	1	0.13846153846153847	Information Gain + Random Forest
0.9557	1	0.12307692307692308	Information Gain + Random Forest
0.97495	1	0.1076923076923077	Information Gain + Random Forest
0.97705	1	0.09230769230769231	Information Gain + Random Forest
0.97765	1	0.07692307692307693	Information Gain + Random Forest
0.98075	1	0.06153846153846154	Information Gain + Random Forest
0.984	1	0.046153846153846156	Information Gain + Random Forest
0.9885	1	0.03076923076923077	Information Gain + Random Forest
0.99025	1	0.015384615384615385	Information Gain + Random Forest
Inf	1	0	Information Gain + Random Forest
