col	role
ENSG00000010379	predictor
ENSG00000010404	predictor
ENSG00000010539	predictor
ENSG00000010610	predictor
ENSG00000010626	predictor
ENSG00000010671	predictor
ENSG00000010704	predictor
ENSG00000010803	predictor
ENSG00000010810	predictor
ENSG00000010818	predictor
ENSG00000010932	predictor
ENSG00000011007	predictor
ENSG00000011009	predictor
ENSG00000011021	predictor
ENSG00000011028	predictor
ENSG00000011105	predictor
ENSG00000011114	predictor
ENSG00000011132	predictor
ENSG00000011143	predictor
ENSG00000011198	predictor
ENSG00000011201	predictor
ENSG00000011243	predictor
ENSG00000011258	predictor
ENSG00000011260	predictor
ENSG00000011275	predictor
ENSG00000011295	predictor
ENSG00000011304	predictor
ENSG00000011332	predictor
ENSG00000011347	predictor
ENSG00000011376	predictor
ENSG00000011405	predictor
ENSG00000011422	predictor
ENSG00000011426	predictor
ENSG00000011451	predictor
ENSG00000011454	predictor
ENSG00000011465	predictor
ENSG00000011478	predictor
ENSG00000011485	predictor
ENSG00000011523	predictor
ENSG00000011566	predictor
ENSG00000011590	predictor
ENSG00000011600	predictor
ENSG00000011638	predictor
ENSG00000012048	predictor
ENSG00000012061	predictor
ENSG00000012124	predictor
ENSG00000012171	predictor
ENSG00000012174	predictor
ENSG00000012211	predictor
ENSG00000012223	predictor
ENSG00000012232	predictor
ENSG00000012660	predictor
ENSG00000012779	predictor
ENSG00000012817	predictor
ENSG00000012822	predictor
ENSG00000012963	predictor
ENSG00000012983	predictor
ENSG00000013016	predictor
ENSG00000013275	predictor
ENSG00000013288	predictor
ENSG00000013293	predictor
ENSG00000013297	predictor
ENSG00000013306	predictor
ENSG00000013364	predictor
ENSG00000013374	predictor
ENSG00000013375	predictor
ENSG00000013392	predictor
ENSG00000013441	predictor
ENSG00000013503	predictor
ENSG00000013523	predictor
ENSG00000013561	predictor
ENSG00000013563	predictor
ENSG00000013573	predictor
ENSG00000013583	predictor
ENSG00000013588	predictor
ENSG00000013619	predictor
ENSG00000013725	predictor
ENSG00000013810	predictor
ENSG00000014123	predictor
ENSG00000014138	predictor
ENSG00000014164	predictor
ENSG00000014216	predictor
ENSG00000014257	predictor
ENSG00000014824	predictor
ENSG00000014914	predictor
ENSG00000014919	predictor
ENSG00000015133	predictor
ENSG00000015153	predictor
ENSG00000015171	predictor
ENSG00000015285	predictor
ENSG00000015475	predictor
ENSG00000015479	predictor
ENSG00000015532	predictor
ENSG00000015568	predictor
ENSG00000015592	predictor
ENSG00000015676	predictor
ENSG00000016082	predictor
ENSG00000016391	predictor
ENSG00000016402	predictor
ENSG00000016602	predictor
ENSG00000016864	predictor
ENSG00000017260	predictor
ENSG00000017427	predictor
ENSG00000017483	predictor
ENSG00000017797	predictor
ENSG00000018189	predictor
ENSG00000018236	predictor
ENSG00000018280	predictor
ENSG00000018408	predictor
ENSG00000018510	predictor
ENSG00000018610	predictor
ENSG00000018699	predictor
ENSG00000018869	predictor
ENSG00000019102	predictor
ENSG00000019144	predictor
ENSG00000019186	predictor
ENSG00000019485	predictor
